Year,July,August,September,October,November,December,January,February,March,April,May,June,Season
1897-1898,0,0,0,0,4.8,1.5,0.6,9.6,12.7,2.1,0,0,31.3
1896-1897,0,0,0,T,8.8,4.2,13.6,10.3,16,0.5,0,0,53.4
1895-1896,0,0,0,0.4,2.6,0.6,5.2,2.2,8.6,7.4,0,0,27
1894-1895,0,0,0,T,0.8,2.7,9,3.3,0.4,0,0,0,16.2
1893-1894,0,0,0,0,8.2,12.3,12,0.3,11.2,5.8,0,0,49.8
1892-1893,0,0,0,0,3.5,6.3,11.4,17.8,7.1,13,T,0,59.1
1891-1892,0,0,0,0,8.8,5.8,0.6,7.2,7.3,T,3,0,32.7
1890-1891,0,0,0,T,4.1,1,7.7,12.3,5.5,3.2,0,0,33.8
1889-1890,0,0,T,0,4.7,9.1,8.3,5.4,7.5,T,2,0,37
1888-1889,0,0,0,0.5,0.8,2.2,3.6,3.5,4.1,T,0,0,14.7
1887-1888,0,0,0,0.4,4.4,17.5,8.1,3.4,10.4,2,1,0,47.2
1886-1887,0,0,0,0,19.7,7.5,22.1,9.7,2.3,1,0,0,62.3
1885-1886,0,0,0,0.2,0.5,5.3,20.2,2.7,10.4,0.1,0,0,39.4
1884-1885,0,0,0,1.1,7.2,14.9,3.5,2.5,3.9,1.5,0.4,0,35
